"","Combination","Subtype","Activity"
"70","Axitinib + JQ1","ER+",0.12088393593177
"71","Axitinib + KU-55933","ER+",-0.14736904912052
"72","Axitinib + Lapatinib","ER+",0.288633719755292
"73","Axitinib + Linsitinib","ER+",0.163554231456167
"74","Axitinib + Luminespib","ER+",-0.146258733926823
"75","Axitinib + MK-1775","ER+",-0.0587421479604476
"76","Axitinib + MK-2206","ER+",0.0411548345805419
"77","Axitinib + Navitoclax","ER+",0.343245730545963
"78","Axitinib + Nilotinib","ER+",0.202248013309155
"79","Axitinib + NU7441","ER+",-0.060290727045041
"80","Axitinib + Nutlin-3a (-)","ER+",-0.135659742314442
"81","Axitinib + Olaparib","ER+",-0.149547562308933
"82","Axitinib + OSI-027","ER+",0.065596615171999
"83","Axitinib + Paclitaxel","ER+",-0.5151965925632
"84","Axitinib + Palbociclib","ER+",0.0144551902826779
"85","Axitinib + PD173074","ER+",-0.107911279420835
"86","Axitinib + PF-4708671","ER+",-0.0227024995335674
"87","Axitinib + Pictilisib","ER+",-0.0576482988895595
"88","Axitinib + Ribociclib","ER+",0.109951657206851
"89","Axitinib + RO-3306","ER+",0.108212879948019
"90","Axitinib + Sapitinib","ER+",0.0273741660583953
"91","Axitinib + SB216763","ER+",0.061269793584744
"92","Axitinib + SCH772984","ER+",0.132920408850698
"93","Axitinib + Sorafenib","ER+",0.184752791541347
"94","Axitinib + Taselisib","ER+",-0.159849898425628
"95","Axitinib + Temozolomide","ER+",-0.0231126488328517
"96","Axitinib + Tozasertib","ER+",-0.0703897896163168
"97","Axitinib + Trametinib","ER+",-0.0661281709792806
"98","Axitinib + Uprosertib","ER+",-0.00973297702280496
"99","Axitinib + Venetoclax","ER+",-0.0155487450292619
"100","Axitinib + Vorinostat","ER+",-0.168761296150685
"101","Axitinib + Wee1 Inhibitor","ER+",0.0335060646811104
"102","Axitinib + ZM447439","ER+",-0.0508900883929136
"103","AZD7762 + 5-Fluorouracil","ER+",0.0983926284341239
"104","AZD7762 + Afatinib","ER+",-0.101429206343389
"105","AZD7762 + Alisertib","ER+",-0.0990343659632182
"106","AZD7762 + Alpelisib","ER+",-0.131732118863015
"107","AZD7762 + Axitinib","ER+",-0.245538134940524
"108","AZD7762 + AZD6482","ER+",-0.0302649718043148
"109","AZD7762 + AZD8055","ER+",-0.108646353722057
"110","AZD7762 + BI-2536","ER+",-0.132526167890652
"111","AZD7762 + Bortezomib","ER+",-0.226823914069574
"112","AZD7762 + Camptothecin","ER+",0.178168980624271
"113","AZD7762 + Cisplatin","ER+",0.0242160132082544
"114","AZD7762 + Crizotinib","ER+",-0.122770577701424
"115","AZD7762 + Dabrafenib","ER+",0.0431125253279378
"116","AZD7762 + Docetaxel","ER+",-0.30384405629364
"117","AZD7762 + Doramapimod","ER+",0.0385397284155535
"118","AZD7762 + Entinostat","ER+",-0.0190327256034968
"119","AZD7762 + Gemcitabine","ER+",0.291882090557789
"120","AZD7762 + GSK269962A","ER+",-0.0217733747567419
"121","AZD7762 + JQ1","ER+",-0.202467794888112
"122","AZD7762 + KU-55933","ER+",-0.108484231625129
"123","AZD7762 + Lapatinib","ER+",-0.156942709051119
"124","AZD7762 + Linsitinib","ER+",-0.0863814609078303
"125","AZD7762 + Luminespib","ER+",-0.143897764249795
"126","AZD7762 + MK-1775","ER+",0.081491479629504
"127","AZD7762 + MK-2206","ER+",-0.19582669333034
"128","AZD7762 + Navitoclax","ER+",-0.0229784353794884
"129","AZD7762 + Nilotinib","ER+",-0.0115050316705677
"130","AZD7762 + NU7441","ER+",-0.105356122808292
"131","AZD7762 + Nutlin-3a (-)","ER+",-0.253507338183805
"132","AZD7762 + Olaparib","ER+",-0.110745951096431
"133","AZD7762 + OSI-027","ER+",-0.216156705782947
"134","AZD7762 + Paclitaxel","ER+",-0.15896459301718
"135","AZD7762 + Palbociclib","ER+",-0.0519875319827346
"136","AZD7762 + PD173074","ER+",-0.0537502248577461
"137","AZD7762 + PF-4708671","ER+",-0.05917624368883
"138","AZD7762 + Pictilisib","ER+",-0.298864917969811
"139","AZD7762 + Ribociclib","ER+",-0.124559354768381
"140","AZD7762 + RO-3306","ER+",-0.0504500066417166
"141","AZD7762 + Sapitinib","ER+",-0.122048204583222
"142","AZD7762 + SB216763","ER+",-0.0170736638175652
"143","AZD7762 + SCH772984","ER+",-0.0124140615595895
"144","AZD7762 + Sorafenib","ER+",0.00444677057591808
"145","AZD7762 + Taselisib","ER+",-0.397860571831379
"146","AZD7762 + Temozolomide","ER+",-0.0728012786516238
"147","AZD7762 + Tozasertib","ER+",-0.0185009140335525
"148","AZD7762 + Trametinib","ER+",-0.0630157491494013
"149","AZD7762 + Uprosertib","ER+",-0.304460563849784
"150","AZD7762 + Venetoclax","ER+",-0.0341398708082818
"151","AZD7762 + Vorinostat","ER+",-0.155132999081204
"152","AZD7762 + Wee1 Inhibitor","ER+",0.129446394371024
"153","AZD7762 + ZM447439","ER+",-0.132076705979859
"154","Bortezomib + 5-Fluorouracil","ER+",-0.19933670745773
"155","Bortezomib + Afatinib","ER+",-0.00848483688332493
"156","Bortezomib + Alisertib","ER+",-0.186319401924623
"157","Bortezomib + Alpelisib","ER+",-0.126568097248102
"158","Bortezomib + Axitinib","ER+",-0.101218707147698
"159","Bortezomib + AZD6482","ER+",-0.00116369685711121
"160","Bortezomib + AZD7762","ER+",-0.463225659306128
"161","Bortezomib + AZD8055","ER+",-0.345652928804881
"162","Bortezomib + BI-2536","ER+",-0.372560770382247
"163","Bortezomib + Camptothecin","ER+",0.175045910667839
"164","Bortezomib + Cisplatin","ER+",-0.00732440401526266
"165","Bortezomib + Crizotinib","ER+",0.1207070506574
"166","Bortezomib + Dabrafenib","ER+",-0.131504559302581
"167","Bortezomib + Docetaxel","ER+",-0.334927021781934
"168","Bortezomib + Doramapimod","ER+",0.0607036850538413
"169","Bortezomib + Entinostat","ER+",-0.118358627592813
"170","Bortezomib + Gemcitabine","ER+",0.0873132372983807
"171","Bortezomib + GSK269962A","ER+",0.0287716381204695
"172","Bortezomib + JQ1","ER+",0.23377952221475
"173","Bortezomib + KU-55933","ER+",-0.188823534911771
"174","Bortezomib + Lapatinib","ER+",-0.10434061218031
"175","Bortezomib + Linsitinib","ER+",0.00240581571207776
"176","Bortezomib + Luminespib","ER+",-0.38025662465891
"177","Bortezomib + MK-1775","ER+",-0.263350557247488
"178","Bortezomib + MK-2206","ER+",-0.0757631856586858
"179","Bortezomib + Navitoclax","ER+",0.0488079081702286
"180","Bortezomib + Nilotinib","ER+",-0.173139168369029
"181","Bortezomib + NU7441","ER+",-0.0861775205638198
"182","Bortezomib + Nutlin-3a (-)","ER+",-0.0273548973520454
"183","Bortezomib + Olaparib","ER+",-0.251155907278957
"184","Bortezomib + OSI-027","ER+",-0.500029060602552
"185","Bortezomib + Paclitaxel","ER+",-0.240552153620075
"186","Bortezomib + Palbociclib","ER+",-0.0554881476712973
"187","Bortezomib + PD173074","ER+",-0.195228093441886
"188","Bortezomib + PF-4708671","ER+",-0.24304827088271
"189","Bortezomib + Pictilisib","ER+",-0.111194517984798
"190","Bortezomib + Ribociclib","ER+",-0.0192072468086246
"191","Bortezomib + RO-3306","ER+",0.149992213543553
"192","Bortezomib + Sapitinib","ER+",-0.23310105757046
"193","Bortezomib + SB216763","ER+",0.0252167618368544
"194","Bortezomib + SCH772984","ER+",-0.0750151809927737
"195","Bortezomib + Sorafenib","ER+",0.0709453971997979
"196","Bortezomib + Taselisib","ER+",-0.130268709235305
"197","Bortezomib + Temozolomide","ER+",-0.0839565307880984
"198","Bortezomib + Tozasertib","ER+",-0.0295297678117186
"199","Bortezomib + Trametinib","ER+",-0.224984480605869
"200","Bortezomib + Uprosertib","ER+",-0.0141693652215426
"201","Bortezomib + Venetoclax","ER+",-0.122194426322775
"202","Bortezomib + Vorinostat","ER+",-0.10825894829166
"203","Bortezomib + Wee1 Inhibitor","ER+",-0.298372809816142
"204","Bortezomib + ZM447439","ER+",0.0460571500157551
"205","Cisplatin + 5-Fluorouracil","ER+",-0.26601461724516
"206","Cisplatin + Afatinib","ER+",-0.0541756173182677
"207","Cisplatin + Alisertib","ER+",-0.352614927443608
"208","Cisplatin + Alpelisib","ER+",-0.388923974664701
"209","Cisplatin + Axitinib","ER+",-0.362435819642985
"210","Cisplatin + AZD6482","ER+",-0.0487545088067813
"211","Cisplatin + AZD7762","ER+",-0.4025151431828
"212","Cisplatin + AZD8055","ER+",-0.407260555932549
"213","Cisplatin + BI-2536","ER+",-0.65948517349609
"214","Cisplatin + Bortezomib","ER+",-0.243224514930051
"215","Cisplatin + Camptothecin","ER+",-0.0376119052938771
"216","Cisplatin + Crizotinib","ER+",-0.0732670180143656
"217","Cisplatin + Dabrafenib","ER+",-0.164785689906296
"218","Cisplatin + Docetaxel","ER+",-0.638984658041988
"219","Cisplatin + Doramapimod","ER+",-0.012246327272786
"220","Cisplatin + Entinostat","ER+",-0.0892921333890902
"221","Cisplatin + Gemcitabine","ER+",0.198908880857127
"222","Cisplatin + GSK269962A","ER+",-0.263198378888934
"223","Cisplatin + JQ1","ER+",-0.214266098347072
"224","Cisplatin + KU-55933","ER+",-0.307283454912138
"225","Cisplatin + Lapatinib","ER+",-0.236074445681633
"226","Cisplatin + Linsitinib","ER+",-0.071418216568425
"227","Cisplatin + Luminespib","ER+",-0.430104974775835
"228","Cisplatin + MK-1775","ER+",-0.323073234103368
"229","Cisplatin + MK-2206","ER+",-0.112065473167591
"230","Cisplatin + Navitoclax","ER+",-0.0241988763724823
"231","Cisplatin + Nilotinib","ER+",-0.599257195575968
"232","Cisplatin + NU7441","ER+",-0.269086148844468
"233","Cisplatin + Nutlin-3a (-)","ER+",-0.201224855620352
"234","Cisplatin + Olaparib","ER+",-0.284230833170548
"235","Cisplatin + OSI-027","ER+",-0.460164879673788
"236","Cisplatin + Paclitaxel","ER+",-0.569791594972848
"237","Cisplatin + Palbociclib","ER+",0.0150473559453381
"238","Cisplatin + PD173074","ER+",-0.294320542242857
"239","Cisplatin + PF-4708671","ER+",-0.361328252301983
"240","Cisplatin + Pictilisib","ER+",-0.15782748033531
"241","Cisplatin + Ribociclib","ER+",-0.186704393392488
"242","Cisplatin + RO-3306","ER+",-0.0469228924855324
"243","Cisplatin + Sapitinib","ER+",-0.258082200004858
"244","Cisplatin + SB216763","ER+",0.0173988916232955
"245","Cisplatin + SCH772984","ER+",0.00211243774627203
"246","Cisplatin + Sorafenib","ER+",0.0336859098762317
"247","Cisplatin + Taselisib","ER+",0.0486206358010667
"248","Cisplatin + Temozolomide","ER+",-0.096460370015041
"249","Cisplatin + Tozasertib","ER+",-0.109077763136171
"250","Cisplatin + Trametinib","ER+",-0.259836504388631
"251","Cisplatin + Uprosertib","ER+",-0.120388617868584
"252","Cisplatin + Venetoclax","ER+",-0.144081171055833
"253","Cisplatin + Vorinostat","ER+",-0.242981174969197
"254","Cisplatin + Wee1 Inhibitor","ER+",-0.387603300090974
"255","Cisplatin + ZM447439","ER+",-0.0588031731737936
"256","Crizotinib + 5-Fluorouracil","ER+",-0.152480625679475
"257","Crizotinib + Afatinib","ER+",-0.17776208325276
"258","Crizotinib + Alisertib","ER+",-0.201708918539861
"259","Crizotinib + Alpelisib","ER+",-0.107033022923102
"260","Crizotinib + Axitinib","ER+",-0.444056381036676
"261","Crizotinib + AZD6482","ER+",-0.235106053749519
"262","Crizotinib + AZD7762","ER+",-0.322679320419368
"263","Crizotinib + AZD8055","ER+",0.0351476347242148
"264","Crizotinib + BI-2536","ER+",-0.184155797386002
"265","Crizotinib + Bortezomib","ER+",-0.128088130073482
"266","Crizotinib + Camptothecin","ER+",-0.178461762751833
"267","Crizotinib + Cisplatin","ER+",-0.0223777491008732
"268","Crizotinib + Dabrafenib","ER+",0.00312818708775414
"269","Crizotinib + Docetaxel","ER+",-0.586563951272617
"270","Crizotinib + Doramapimod","ER+",-0.0425182042262053
"271","Crizotinib + Entinostat","ER+",-0.0619223066883339
"272","Crizotinib + Gemcitabine","ER+",-0.423142101973051
"273","Crizotinib + GSK269962A","ER+",-0.467080392221061
"274","Crizotinib + JQ1","ER+",-0.509373560150441
"275","Crizotinib + KU-55933","ER+",-0.0940586574265778
"276","Crizotinib + Lapatinib","ER+",-0.381544570009676
"277","Crizotinib + Linsitinib","ER+",-0.146047091393814
"278","Crizotinib + Luminespib","ER+",-0.0858515633923728
"279","Crizotinib + MK-1775","ER+",-0.250237856153572
"280","Crizotinib + MK-2206","ER+",-0.0569030278459243
"281","Crizotinib + Navitoclax","ER+",0.0892498443476528
"282","Crizotinib + Nilotinib","ER+",-0.0730888678472028
"283","Crizotinib + NU7441","ER+",-0.0720948525722217
"284","Crizotinib + Nutlin-3a (-)","ER+",-0.306718385842228
"285","Crizotinib + Olaparib","ER+",-0.17596098204783
"286","Crizotinib + OSI-027","ER+",0.282702147411032
"287","Crizotinib + Paclitaxel","ER+",-0.446053213184306
"288","Crizotinib + Palbociclib","ER+",0.0199876834860577
"289","Crizotinib + PD173074","ER+",-0.149176448172275
"290","Crizotinib + PF-4708671","ER+",-0.0338696469075627
"291","Crizotinib + Pictilisib","ER+",-0.0634640627222343
"292","Crizotinib + Ribociclib","ER+",-0.289271151183816
"293","Crizotinib + RO-3306","ER+",-0.274210552394893
"294","Crizotinib + Sapitinib","ER+",0.0128221589656702
"295","Crizotinib + SB216763","ER+",-0.0820255483674494
"296","Crizotinib + SCH772984","ER+",0.00396134108281199
"297","Crizotinib + Sorafenib","ER+",-0.226483591852899
"298","Crizotinib + Taselisib","ER+",-0.524830033988792
"299","Crizotinib + Temozolomide","ER+",-0.0942110778842035
"300","Crizotinib + Tozasertib","ER+",-0.21125570388974
"301","Crizotinib + Trametinib","ER+",-0.12540165382941
"302","Crizotinib + Uprosertib","ER+",-0.444517181417145
"303","Crizotinib + Venetoclax","ER+",-0.0704326175019897
"304","Crizotinib + Vorinostat","ER+",-0.1384450160056
"305","Crizotinib + Wee1 Inhibitor","ER+",-0.301544104860264
"306","Crizotinib + ZM447439","ER+",-0.221317363997522
"307","Docetaxel + 5-Fluorouracil","ER+",-0.169108019911625
"308","Docetaxel + Afatinib","ER+",0.0642471938578186
"309","Docetaxel + Alisertib","ER+",-0.264851064480549
"310","Docetaxel + Alpelisib","ER+",-0.176915472774482
"311","Docetaxel + Axitinib","ER+",-0.204390984145869
"312","Docetaxel + AZD6482","ER+",-0.0217272642026081
"313","Docetaxel + AZD7762","ER+",-0.351530089969177
"314","Docetaxel + AZD8055","ER+",-0.327211166878462
"315","Docetaxel + BI-2536","ER+",-0.345904138322208
"316","Docetaxel + Bortezomib","ER+",-0.255601348847589
"317","Docetaxel + Camptothecin","ER+",-0.0177303973812576
"318","Docetaxel + Cisplatin","ER+",0.0106467735994747
"319","Docetaxel + Crizotinib","ER+",-0.122306411498222
"320","Docetaxel + Dabrafenib","ER+",-0.0569647704141785
"321","Docetaxel + Doramapimod","ER+",0.0774840535272961
"322","Docetaxel + Entinostat","ER+",-0.148500843768818
"323","Docetaxel + Gemcitabine","ER+",-0.04070474691714
"324","Docetaxel + GSK269962A","ER+",-0.0264162287701436
"325","Docetaxel + JQ1","ER+",0.0496025851955357
"326","Docetaxel + KU-55933","ER+",-0.205874181843544
"327","Docetaxel + Lapatinib","ER+",-0.0294708579040809
"328","Docetaxel + Linsitinib","ER+",-0.0389131074822301
"329","Docetaxel + Luminespib","ER+",-0.31129723487025
"330","Docetaxel + MK-1775","ER+",-0.242232392037431
"331","Docetaxel + MK-2206","ER+",0.150604458206735
"332","Docetaxel + Navitoclax","ER+",0.0441398242978593
"333","Docetaxel + Nilotinib","ER+",-0.217511241268236
"334","Docetaxel + NU7441","ER+",-0.128135282280913
"335","Docetaxel + Nutlin-3a (-)","ER+",-0.207507293302901
"336","Docetaxel + Olaparib","ER+",-0.252151442874672
"337","Docetaxel + OSI-027","ER+",-0.47579291655666
"338","Docetaxel + Paclitaxel","ER+",-0.188962031947723
"339","Docetaxel + Palbociclib","ER+",-0.0377274169262459
"340","Docetaxel + PD173074","ER+",-0.20574684489923
"341","Docetaxel + PF-4708671","ER+",-0.204991951359933
"342","Docetaxel + Pictilisib","ER+",-0.0397186092147468
"343","Docetaxel + Ribociclib","ER+",0.0142549118033648
"344","Docetaxel + RO-3306","ER+",0.184482021690077
"345","Docetaxel + Sapitinib","ER+",-0.176465914497617
"346","Docetaxel + SB216763","ER+",0.0400480391490272
"347","Docetaxel + SCH772984","ER+",-0.034985958246127
"348","Docetaxel + Sorafenib","ER+",0.072724626652234
"349","Docetaxel + Taselisib","ER+",-0.0238111194547294
"350","Docetaxel + Temozolomide","ER+",-0.0637213487944066
"351","Docetaxel + Tozasertib","ER+",-0.00874483576383654
"352","Docetaxel + Trametinib","ER+",-0.205331199407998
"353","Docetaxel + Uprosertib","ER+",-0.148010392189238
"354","Docetaxel + Venetoclax","ER+",-0.088418014698475
"355","Docetaxel + Vorinostat","ER+",-0.192277810520194
"356","Docetaxel + Wee1 Inhibitor","ER+",-0.214409736784024
"357","Docetaxel + ZM447439","ER+",-0.106394454027809
"358","Gemcitabine + 5-Fluorouracil","ER+",-0.181501697093302
"359","Gemcitabine + Afatinib","ER+",0.0646357765206513
"360","Gemcitabine + Alisertib","ER+",-0.322906111285486
"361","Gemcitabine + Alpelisib","ER+",-0.200364858794265
"362","Gemcitabine + Axitinib","ER+",-0.148336306305615
"363","Gemcitabine + AZD6482","ER+",0.0914699426519339
"364","Gemcitabine + AZD7762","ER+",-0.094169317322847
"365","Gemcitabine + AZD8055","ER+",-0.468261712248721
"366","Gemcitabine + BI-2536","ER+",-0.399689941665342
"367","Gemcitabine + Bortezomib","ER+",-0.22474537903258
"368","Gemcitabine + Camptothecin","ER+",0.0229663521535416
"369","Gemcitabine + Cisplatin","ER+",0.0415862603223877
"370","Gemcitabine + Crizotinib","ER+",-0.133200678958811
"371","Gemcitabine + Dabrafenib","ER+",-0.154637170596002
"372","Gemcitabine + Docetaxel","ER+",-0.575570186685827
"373","Gemcitabine + Doramapimod","ER+",0.0491102099629218
"374","Gemcitabine + Entinostat","ER+",0.134076357927
"375","Gemcitabine + GSK269962A","ER+",-0.0763697630182222
"376","Gemcitabine + JQ1","ER+",0.113575873870589
"377","Gemcitabine + KU-55933","ER+",-0.241679290690104
"378","Gemcitabine + Lapatinib","ER+",-0.0998886082915785
"379","Gemcitabine + Linsitinib","ER+",-0.0833860572075821
"380","Gemcitabine + Luminespib","ER+",-0.484081945160627
"381","Gemcitabine + MK-1775","ER+",-0.337883651331099
"382","Gemcitabine + MK-2206","ER+",-0.056313896067127
"383","Gemcitabine + Navitoclax","ER+",0.173956657748683
"384","Gemcitabine + Nilotinib","ER+",-0.453592153948299
"385","Gemcitabine + NU7441","ER+",-0.131245208398526
"386","Gemcitabine + Nutlin-3a (-)","ER+",-0.0402337001441228
"387","Gemcitabine + Olaparib","ER+",-0.267481915316669
"388","Gemcitabine + OSI-027","ER+",-0.538092037352661
"389","Gemcitabine + Paclitaxel","ER+",-0.695352858434171
"390","Gemcitabine + Palbociclib","ER+",-0.0484758752592917
"391","Gemcitabine + PD173074","ER+",-0.21346228463062
"392","Gemcitabine + PF-4708671","ER+",-0.272819070124213
"393","Gemcitabine + Pictilisib","ER+",0.0567904290512284
"394","Gemcitabine + Ribociclib","ER+",-0.0870062398291183
"395","Gemcitabine + RO-3306","ER+",0.0825095254521141
"396","Gemcitabine + Sapitinib","ER+",-0.220950953197395
"397","Gemcitabine + SB216763","ER+",0.00660481604760237
"398","Gemcitabine + SCH772984","ER+",-0.0283206071523005
"399","Gemcitabine + Sorafenib","ER+",-0.0106222551949534
"400","Gemcitabine + Taselisib","ER+",-0.000425572881717111
"401","Gemcitabine + Temozolomide","ER+",-0.000910974270648221
"402","Gemcitabine + Tozasertib","ER+",-0.0840203085641102
"403","Gemcitabine + Trametinib","ER+",-0.196066289340409
"404","Gemcitabine + Uprosertib","ER+",-0.208264389812235
"405","Gemcitabine + Venetoclax","ER+",-0.0594528375880338
"406","Gemcitabine + Vorinostat","ER+",-0.301780176090477
"407","Gemcitabine + Wee1 Inhibitor","ER+",-0.328101314571316
"408","Gemcitabine + ZM447439","ER+",-0.168000011166837
"409","Lapatinib + 5-Fluorouracil","ER+",-0.0335623837120211
"410","Lapatinib + Afatinib","ER+",0.00842128706849636
"411","Lapatinib + Alisertib","ER+",0.159629352688428
"412","Lapatinib + Alpelisib","ER+",0.146260050350652
"413","Lapatinib + Axitinib","ER+",0.138974373711657
"414","Lapatinib + AZD6482","ER+",0.047174935649316
"415","Lapatinib + AZD7762","ER+",-0.238430121129065
"416","Lapatinib + AZD8055","ER+",0.124532414680343
"417","Lapatinib + BI-2536","ER+",0.233513382029006
"418","Lapatinib + Bortezomib","ER+",-0.0114840873191668
"419","Lapatinib + Camptothecin","ER+",0.0650782143243471
"420","Lapatinib + Cisplatin","ER+",0.0010766948296169
"421","Lapatinib + Crizotinib","ER+",0.343494948381372
"422","Lapatinib + Dabrafenib","ER+",0.141110001495381
"423","Lapatinib + Docetaxel","ER+",-0.224691080683363
"424","Lapatinib + Doramapimod","ER+",0.034952818688571
"425","Lapatinib + Entinostat","ER+",0.132562072595192
"426","Lapatinib + Gemcitabine","ER+",0.00677887380064992
"427","Lapatinib + GSK269962A","ER+",-0.0299008807128025
"428","Lapatinib + JQ1","ER+",-0.0721894636807023
"429","Lapatinib + KU-55933","ER+",0.0606297523571896
"430","Lapatinib + Linsitinib","ER+",0.0591426475938745
"431","Lapatinib + Luminespib","ER+",-0.0656982768163603
"432","Lapatinib + MK-1775","ER+",-0.016272451388381
"433","Lapatinib + MK-2206","ER+",0.252191178034715
"434","Lapatinib + Navitoclax","ER+",0.221587035494428
"435","Lapatinib + Nilotinib","ER+",0.257841214473829
"436","Lapatinib + NU7441","ER+",0.16099539016917
"437","Lapatinib + Nutlin-3a (-)","ER+",0.107557040152668
"438","Lapatinib + Olaparib","ER+",0.0263876738125982
"439","Lapatinib + OSI-027","ER+",0.0746918059938619
"440","Lapatinib + Paclitaxel","ER+",-0.0641668753046134
"441","Lapatinib + Palbociclib","ER+",0.033214539430572
"442","Lapatinib + PD173074","ER+",0.0437320441986772
"443","Lapatinib + PF-4708671","ER+",0.254523852669672
"444","Lapatinib + Pictilisib","ER+",0.217569006754831
"445","Lapatinib + Ribociclib","ER+",-0.0487780056416888
"446","Lapatinib + RO-3306","ER+",0.0462194506062786
"447","Lapatinib + Sapitinib","ER+",0.0450050595688399
"448","Lapatinib + SB216763","ER+",-0.014059016594922
"449","Lapatinib + SCH772984","ER+",-0.0477791993664805
"450","Lapatinib + Sorafenib","ER+",0.136036354920181
"451","Lapatinib + Taselisib","ER+",-0.126215546829431
"452","Lapatinib + Temozolomide","ER+",-0.0746075110580058
"453","Lapatinib + Tozasertib","ER+",0.00752977310880476
"454","Lapatinib + Trametinib","ER+",0.0977748337055275
"455","Lapatinib + Uprosertib","ER+",0.114128315766806
"456","Lapatinib + Venetoclax","ER+",0.137562285627706
"457","Lapatinib + Vorinostat","ER+",0.128661061510181
"458","Lapatinib + Wee1 Inhibitor","ER+",0.0696708737293073
"459","Lapatinib + ZM447439","ER+",0.290841153062779
"460","Linsitinib + 5-Fluorouracil","ER+",-0.0327461439122686
"461","Linsitinib + Afatinib","ER+",0.249016686299735
"462","Linsitinib + Alisertib","ER+",0.0499763105989867
